DIA,MES,ANO,ESC.,M3/SEG.
14,AGO,1951,2.16,13.9
17,SET,1951,2.24,18.4
31,OCT,1951,2.29,21.8
30,NOV,1951,2.2,15.9
15,DIC,1951,2.23,17.6
31,ENE,1952,2.2,16.4
24,FEB,1952,2.08,10.2
24,MAR,1952,2.02,8.2
18,ABR,1952,1.87,7.1
5,MAY,1952,3.26,6.8
3,JUN,1952,3.57,9.1
3,JUL,1952,3.47,11
4,AGO,1952,3.55,14.4
1,SET,1952,3.54,13.6
24,OCT,1952,2.27,28
29,NOV,1952,2.18,22.7
21,DIC,1952,2.18,21
31,ENE,1953,2.08,17.3
27,FEB,1953,1.95,11.6
27,MAR,1953,1.91,9.9
14,ABR,1953,1.89,10.2
2,MAY,1953,,11
21,JUN,1953,,22.7
19,JUL,1953,,19.5
31,AGO,1953,,19.4
6,SET,1953,,17.1
29,OCT,1953,,22.6
23,NOV,1953,,16.4
1,DIC,1953,,17.2
20,ENE,1954,,21.38
28,FEB,1954,,16.38
23,MAR,1954,,10.8
6,ABR,1954,,9.8
18,MAY,1954,,7.2
1,JUN,1954,,21.5
19,JUL,1954,,26.15
16,AGO,1954,,20.63
4,SET,1954,,26.9
6,OCT,1954,,20.88
16,NOV,1954,,20
30,DIC,1954,,22.5
31,ENE,1955,,17.15
28,FEB,1955,,15.4
31,MAR,1955,,12.5
22,ABR,1955,,11
26,MAY,1955,,9.4
28,JUN,1955,,12.88
N.D.,JUL,1955,,N.D.
N.D.,AGO,1955,,N.D.
N.D.,SET,1955,,N.D.
N.D.,OCT,1955,,N.D.
N.D.,NOV,1955,,N.D.
N.D.,DIC,1955,,N.D.
22,ENE,1956,,17
26,FEB,1956,,16.9
27,MAR,1956,,16.5
26,ABR,1956,,12.3
1,MAY,1956,,12.1
2,JUN,1956,,16.6
23,JUL,1956,,19
8,AGO,1956,,18
19,SET,1956,,11
20,OCT,1956,,27.45
30,NOV,1956,,21.3
4,DIC,1956,,20.5
31,ENE,1957,,19.5
26,FEB,1957,,14
30,MAR,1957,,11.5
28,ABR,1957,,10.9
6,MAY,1957,,10.2
18,JUN,1957,,15
2,JUL,1957,,15
29,AGO,1957,,16
2,SET,1957,,15.8
8,OCT,1957,,18.3
20,NOV,1957,,15.6
31,DIC,1957,,17
31,ENE,1958,,10.6
17,FEB,1958,,8.8
23,MAR,1958,,7.9
14,ABR,1958,,7.4
2,MAY,1958,,7.9
24,JUN,1958,,15.3
12,JUL,1958,,13.1
30,AGO,1958,,14
11,SET,1958,,12.9
8,OCT,1958,,12.3
29,NOV,1958,,13.3
15,DIC,1958,,14
27,ENE,1959,,13.12
28,FEB,1959,,8.8
22,MAR,1959,,7.6
4,ABR,1959,,7.4
23,MAY,1959,,7.3
2,JUN,1959,,8.3
17,JUL,1959,,11.87
4,AGO,1959,,13.12
1,SET,1959,,12.25
2,OCT,1959,,17.45
26,NOV,1959,,12
22,DIC,1959,,12.15
29,ENE,1960,,14.09
29,FEB,1960,,10.41
16,MAR,1960,,8.23
6,ABR,1960,,8.23
10,MAY,1960,,8.57
19,JUN,1960,,9.26
19,JUL,1960,,11.56
3,AGO,1960,,13.86
19,SET,1960,,17.43
4,OCT,1960,,11.68
N.D.,NOV,1960,,N. D.
15,DIC,1960,,30.08
31,ENE,1961,,20.1
15,FEB,1961,,15.13
31,MAR,1961,,10.07
30,ABR,1961,,8.69
20,MAY,1961,,8.61
1,JUN,1961,,9.2
18,JUL,1961,,9.05
30,AGO,1961,,13.12
14,SET,1961,,13.01
10,OCT,1961,,19.24
24,NOV,1961,,20.67
5,DIC,1961,,16.72
3,ENE,1962,,15.67
26,FEB,1962,,11.26
16,MAR,1962,,9.32
20,ABR,1962,,8.76
8,MAY,1962,,8.82
2,JUN,1962,,9.7
1,JUL,1962,,18.3
15,AGO,1962,,16.48
14,SET,1962,,17.32
3,OCT,1962,,28.5
11,NOV,1962,,17.18
27,DIC,1962,,15.5
21,ENE,1963,,13.1
25,FEB,1963,,10.6
31,MAR,1963,,8.91
1,ABR,1963,,8.91
15,MAY,1963,,8.14
3,JUN,1963,,8
16,JUL,1963,,9.52
30,AGO,1963,,9.79
5,SET,1963,,9.93
27,OCT,1963,,10.88
3,NOV,1963,,15.76
28,DIC,1963,,14.35
29,ENE,1964,,8
15,FEB,1964,,7.6
26,MAR,1964,,6.7
25,ABR,1964,,6.7
13,MAY,1964,,6.9
2,JUN,1964,,9.3
31,JUL,1964,,15.5
11,AGO,1964,,11.7
7,SET,1964,,19.5
2,OCT,1964,,37.7
30,NOV,1964,,20.7
6,DIC,1964,,11.6
31,ENE,1965,,11.3
26,FEB,1965,,9.1
28,MAR,1965,,8
26,ABR,1965,,7.6
17,MAY,1965,,4.4
8,JUN,1965,,5.6
1,JUL,1965,,6.6
13,AGO,1965,,9.18
14,SET,1965,,10.6
11,OCT,1965,,13.6
30,NOV,1965,,12.8
17,DIC,1965,,11.9
30,ENE,1966,,10.12
21,FEB,1966,,8.5
18,MAR,1966,,6.8
20,ABR,1966,,5.47
14,MAY,1966,,6.5
6,JUN,1966,,11.05
6,JUL,1966,,17.04
31,AGO,1966,,13.2
5,SET,1966,,12.86
31,OCT,1966,,23.05
30,NOV,1966,,22.76
26,DIC,1966,,19.15
12,ENE,1967,,16.36
26,FEB,1967,,13.98
31,MAR,1967,,12
21,ABR,1967,,10.5
23,MAY,1967,,12.2
1,JUN,1967,,13.8
20,JUL,1967,,13.7
29,AGO,1967,,15.7
6,SET,1967,,16.75
19,OCT,1967,,20.64
26,NOV,1967,,22.1
31,DIC,1967,,17.62
27,ENE,1968,,16.85
29,FEB,1968,,8.25
25,MAR,1968,,6.49
29,ABR,1968,,6.15
1,MAY,1968,,6.4
26,JUN,1968,,24.04
20,JUL,1968,,18.87
15,AGO,1968,,15.5
12,SET,1968,,15.09
14,OCT,1968,,18.8
8,NOV,1968,,17.7
28,DIC,1968,,16.2
20,ENE,1969,,9.75
23,FEB,1969,,8.35
31,MAR,1969,,8.35
17,ABR,1969,,7.07
16,MAY,1969,,7.07
24,JUN,1969,,11.15
21,JUL,1969,,11.15
7,AGO,1969,,14.46
15,SET,1969,,21.7
1,OCT,1969,,38.29
24,NOV,1969,,20.02
31,DIC,1969,,20.1
20,ENE,1970,,14.01
21,FEB,1970,,13.19
31,MAR,1970,,12.65
26,ABR,1970,,9.7
,MAY,1979,,
,JUN,1979,,
,JUL,1979,,
,AGO,1979,,
,SET,1979,,
7,OCT,1979,,52.3
30,NOV,1979,,47.5
29,DIC,1979,,28.7
31,ENE,1980,,16.3
29,FEB,1980,,10.8
31,MAR,1980,,8.49
30,ABR,1980,,7.5
7,MAY,1980,,6.76
6,JUN,1980,,12.4
11,JUL,1980,,17.2
27,AGO,1980,,16.2
7,SET,1980,,17.1
30,OCT,1980,,37.5
4,NOV,1980,,29. 9
31,DIC,1980,,21.1
31,ENE,1981,,14.1
26,FEB,1981,,10.6
31,MAR,1981,,7.41
29,ABR,1981,,6.46
1,MAY,1981,,12.5
29,JUN,1981,,39.2
27,JUL,1981,,28.4
1,AGO,1981,,28
27,SET,1981,,31.8
8,OCT,1981,,27.7
30,NOV,1981,,25.5
30,DIC,1981,,18.5
31,ENE,1982,,15.2
28,FEB,1982,,11.6
31,MAR,1982,,8.99
29,ABR,1982,,8.2
27,MAY,1982,,1110
,JUN,1982,,
5,JUL,1982,,213
,AGO,1982,,
30,SET,1982,,178
12,OCT,1982,,231
2,NOV,1982,,36
1,DIC,1982,,13.6
5,ENE,1983,,22.6
1,FEB,1983,,12.2
1,MAR,1983,,8.54
1,ABR,1983,,7.4
30,MAY,1983,,5.69
1,JUN,1983,,7.33
9,JUL,1983,,8.79
22,AGO,1983,,9.06
24,SET,1983,,10.5
2,OCT,1983,,13.2
9,NOV,1983,,13.8
31,DIC,1983,,9.69
21,ENE,1984,,9.09
27,FEB,1984,,7.33
31,MAR,1984,,5.75
30,ABR,1984,,5.16
12,MAY,1984,,4.24
8,JUN,1984,,7.33
1,JUL,1984,,9
26,AGO,1984,,13.9
7,SET,1984,,17.2
22,OCT,1984,,26.1
30,NOV,1984,,16.3
18,DIC,1984,,14.8
23,ENE,1985,,11.9
28,FEB,1985,,10.9
31,MAR,1985,,7.36
26,ABR,1985,,6.36
8,MAY,1985,,6.22
2,JUN,1985,,7.91
3,JUL,1985,,10.3
15,AGO,1985,,11.7
26,SET,1985,,13.2
21,OCT,1985,,14.6
30,NOV,1985,,18
26,DIC,1985,,14.2
31,ENE,1986,,11.5
28,FEB,1986,,8.37
25,MAR,1986,,6.77
30,ABR,1986,,5.77
21,MAY,1986,,5.34
3,JUN,1986,,17.7
28,JUL,1986,,16.4
9,AGO,1986,,14.6
7,SET,1986,,17.4
26,OCT,1986,,19.4
25,NOV,1986,,13.3
31,DIC,1986,,14.2
25,ENE,1987,,9.09
28,FEB,1987,,7.3
31,MAR,1987,,5.7
25,ABR,1987,,5.27
1,MAY,1987,,5.47
22,JUN,1987,,7.33
2,JUL,1987,,7.37
20,AGO,1987,,11.6
30,SET,1987,,11
19,OCT,1987,,11.9
8,NOV,1987,,10. 6
16,DIC,1987,,8.81
24,ENE,1988,,8.49
29,FEB,1988,,7.05
29,MAR,1988,,4.65
28,ABR,1988,,3.21
1,MAY,1988,,3.92
1,JUN,1988,,11.8
23,JUL,1988,,13.9
1,AGO,1988,,15.8
30,SET,1988,,63.3
21,OCT,1988,,37.9
26,NOV,1988,,21.5
19,DIC,1988,,21.1
31,ENE,1989,,17.9
28,FEB,1989,,11.6
31,MAR,1989,,7.68
30,ABR,1989,,5.9
5,MAY,1989,,5.69
2,JUN,1989,,7.05
5,JUL,1989,,8.2
7,AGO,1989,,10.3
3,SET,1989,,11.6
31,OCT,1989,,15.6
30,NOV,1989,,14.2
27,DIC,1989,,9.69
5,ENE,1990,,8.49
26,FEB,1990,,5.95
24,MAR,1990,,4.16
27,ABR,1990,,3.22
18,MAY,1990,,2.99
7,JUN,1990,,5.69
2,JUL,1990,,6.22
8,AGO,1990,,8.79
13,SET,1990,,8.49
2,OCT,1990,,11.1
29,NOV,1990,,14.9
31,DIC,1990,,11.6
31,ENE,1991,,7.62
28,FEB,1991,,5.95
27,MAR,1991,,3.92
12,ABR,1991,,2.56
9,MAY,1991,,2.55
12,JUN,1991,,5.16
31,JUL,1991,,9.39
29,AGO,1991,,9.87
8,SET,1991,,9.69
31,OCT,1991,,15.2
24,NOV,1991,,10.8
8,DIC,1991,,10.9
31,ENE,1992,,7.35
29,FEB,1992,,5.42
31,MAR,1992,,4.8
29,ABR,1992,,4.64
13,MAY,1992,,3.62
1,JUN,1992,,5.48
8,JUL,1992,,7.25
3,AGO,1992,,10.4
14,SET,1992,,12
29,OCT,1992,,11 .2
19,NOV,1992,,9.14
1,DIC,1992,,8.67
31,ENE,1993,,8.45
25,FEB,1993,,5.34
16,MAR,1993,,4.13
4,ABR,1993,,3.96
